id	treat	first	second	third	new
1	alpha	-0.154414432597567	42	0.00072093205465047	1.19086375173333e+22
2	alpha	-0.024797976957096	19	1.20438277591272e-05	5.40006310454444e+21
3	alpha	1.34060989279168	5	0.0491580677639438	1.80444421623518e+21
4	alpha	0.529451285971392	6	0.0135098030104154	1.85818569623008e+21
5	alpha	-1.11696012447748	27	1.4677717422761e-14	7.36593204623219e+21
6	alpha	-0.721091047267343	34	0.67885339098965	9.47068748869778e+21
7	alpha	1.18342782800733	27	8.78465028711201e-08	8.02058858655606e+21
8	alpha	1.65299795059791	21	0.138041499704065	6.44670967359365e+21
9	alpha	-0.199278954862452	13	6.24809233335919e-10	3.6428967314008e+21
10	alpha	-1.2076988384615	49	0.774682471573334	1.36009852158778e+22
11	alpha	0.226914373874524	24	1.35664916013058e-07	6.89462311328465e+21
12	alpha	2.25161970552198	12	6.93812218214255e-07	4.05580112708841e+21
13	alpha	-0.217995965955587	19	0.00108026509475222	5.34508180152611e+21
14	alpha	-0.18738996256294	48	0.00172147072131665	1.36067648229302e+22
15	alpha	-1.23440259102496	29	3.30235947157974e-05	7.90168020144203e+21
16	alpha	0.839282218885504	8	0.154572758236574	2.51552956974551e+21
17	alpha	0.532222508912099	35	0.0248037554711628	1.01119473489574e+22
18	alpha	0.679453100279288	45	0.0350962089437898	1.2999699767256e+22
19	alpha	-0.60020339631882	26	0.0406067725629552	7.22840812634871e+21
20	alpha	0.246017129149714	29	0.000359034379620302	8.32298585607733e+21
21	alpha	0.93295871199812	34	9.7205120242988e-14	9.94140569592653e+21
22	alpha	-0.00940138236309405	19	0.465494163658011	5.40444474866616e+21
23	alpha	-0.579615759579547	29	0.045291194428072	8.08802289257839e+21
24	alpha	0.995780911568827	15	0.0735024905733022	4.55216372526859e+21
25	alpha	-1.67651205166245	14	0.0158368371933899	3.50708321884016e+21
26	alpha	1.26682919021879	44	0.034565387829854	1.28822730779346e+22
27	alpha	-1.9141439823165	48	0.54582206547046	1.31153560536654e+22
28	alpha	-0.227488691137733	11	2.50837195936646e-05	3.06569810385324e+21
